date,female_age,courtship_trial,treatment,fem_ID,courtship_duration,courtship_latency,mating_latency_trial,mating_latency_courtship,prop_courtship,notes
Jan 15 2024,4,1,medium,1,68,96,234,138,0.290598291,
Jan 15 2024,4,2,high,1,70,150,600,NA,0.116666667,
Jan 15 2024,4,3,low,1,204,222,475,253,0.429473684,
Jan 15 2024,4,10,high,2,35,555,592,37,0.059121622,
Jan 15 2024,4,5,low,2,185,91,543,452,0.340699816,
Jan 15 2024,4,6,medium,2,195,72,558,486,0.349462366,
Jan 15 2024,4,7,low,3,122,54,208,154,0.586538462,
Jan 15 2024,4,8,medium,3,10,298,600,NA,0.016666667,
Jan 15 2024,4,9,high,3,52,305,600,NA,0.086666667,
Jan 23 2024,12,1,high,1,0,600,600,NA,0,no courthship or mating on this day at all?
Jan 23 2024,12,2,low,1,0,600,600,NA,0,"there was a snowstorm coming in this day, that could've possibly decreased activity levels??"
Jan 23 2024,12,3,medium,1,0,600,600,NA,0,
Jan 23 2024,12,4,low,2,0,600,600,NA,0,
Jan 23 2024,12,5,medium,2,0,600,600,NA,0,
Jan 23 2024,12,6,high,2,0,600,600,NA,0,
Jan 23 2024,12,7,high,3,0,600,600,NA,0,
Jan 23 2024,12,8,medium,3,0,600,600,NA,0,
Jan 23 2024,12,9,low,3,0,600,600,NA,0,
Jan 31 2024,20,1,medium,1,313,148,600,NA,0.521666667,
Jan 31 2024,20,2,low,1,271,78,395,317,0.686075949,
Jan 31 2024,20,3,high,1,220,67,600,NA,0.366666667,
Jan 31 2024,20,4,high,2,199,92,600,NA,0.331666667,
Jan 31 2024,20,5,low,2,31,419,595,176,0.05210084,
Jan 31 2024,20,6,medium,2,170,112,600,NA,0.283333333,
Jan 31 2024,20,7,medium,3,7,312,600,NA,0.011666667,
Jan 31 2024,20,8,high,3,16,444,600,NA,0.026666667,
Jan 31 2024,20,9,low,3,145,348,510,162,0.284313725,
Feb 8 2024,28,1,high,1,322,141,600,NA,0.536666667,
Feb 8 2024,28,2,low,1,0,600,600,NA,0,
Feb 8 2024,28,3,medium,1,85,248,600,NA,0.141666667,
Feb 8 2024,28,4,low,2,0,600,600,NA,0,
Feb 8 2024,28,5,medium,2,0,600,600,NA,0,
Feb 8 2024,28,6,high,2,0,600,600,NA,0,
Feb 8 2024,28,7,high,3,154,323,600,NA,0.256666667,
Feb 8 2024,28,8,low,3,43,191,270,79,0.159259259,
Feb 8 2024,28,9,medium,3,170,422,600,NA,0.283333333,
