,treatment,vial,offspring,mating_rate
2,medium,1,101,0.25
5,medium,2,759,0.15625
7,medium,3,859,0.125
10,medium,4,1076,0.1875
13,medium,5,1076,0.178571429
16,medium,6,983,0.15625
19,medium,7,959,0.125
22,medium,8,764,0.09375
25,medium,9,731,0.1875
28,medium,10,810,0.15625
31,medium,11,745,0.09375
34,medium,12,881,0.15625
37,medium,13,776,0.125
40,medium,14,792,0.142857143
43,medium,15,791,0.09375
46,medium,16,898,0.15625
49,medium,17,487,0.178571429
52,medium,18,870,0.136363636
55,medium,19,1001,0.1875
58,medium,20,1008,0.125
1,low,1,414,0.09375
4,low,2,922,0.09375
9,low,4,314,0.09375
12,low,5,108,0.1
15,low,6,1003,0.09375
18,low,7,626,0.125
21,low,8,638,0.09375
24,low,9,765,0.125
27,low,10,218,0.125
30,low,11,597,0.142857143
33,low,12,623,0.125
36,low,13,580,0.0625
39,low,14,899,0.125
42,low,15,691,0.125
45,low,16,840,0.125
48,low,17,827,0.125
51,low,18,609,0.125
54,low,19,951,0.125
57,low,20,897,0.125
3,high,1,764,0.1875
6,high,2,993,0.125
8,high,3,849,0.21875
11,high,4,921,0.21875
14,high,5,797,0.21875
17,high,6,902,0.1875
20,high,7,863,0.125
23,high,8,819,0.15625
26,high,9,1034,0.125
29,high,10,341,0.142857143
32,high,11,1177,0.21875
35,high,12,910,0.25
38,high,13,900,0.1875
41,high,14,993,0.15625
44,high,15,940,0.3125
47,high,16,874,0.1875
50,high,17,981,0.25
53,high,18,689,0.15625
56,high,19,1024,0.15625
59,high,20,683,0.15625
