replicate,treatment,vial,total_offspring,longevity,status,matings,mating_rate,days_not_mated
1,low,1,414,46,2,3,0.09375,29
1,low,2,1105,44,2,3,0.09375,29
1,low,4,451,52,2,3,0.09375,29
1,low,5,108,23,2,3,0.157894737,16
1,low,6,1284,51,2,3,0.09375,29
1,low,7,886,51,2,4,0.125,28
1,low,8,731,51,2,3,0.09375,29
1,low,9,849,50,2,4,0.125,28
1,low,10,267,60,2,4,0.125,28
1,low,12,781,46,2,4,0.125,28
1,low,13,598,52,2,2,0.0625,30
1,low,14,1234,61,2,4,0.125,28
1,low,15,961,51,2,4,0.125,28
1,low,16,1008,35,2,4,0.129032258,27
1,low,17,1182,53,2,4,0.125,28
1,low,18,720,45,2,4,0.125,28
1,low,19,1229,53,2,4,0.125,28
1,low,20,1216,49,2,4,0.125,28
1,medium,1,101,42,2,8,0.25,24
1,medium,2,971,45,2,5,0.15625,27
1,medium,3,859,43,2,4,0.125,28
1,medium,4,1077,36,2,6,0.1875,26
1,medium,5,1186,32,2,5,0.178571429,23
1,medium,6,1314,52,2,5,0.15625,27
1,medium,7,1041,39,2,4,0.125,28
1,medium,8,973,35,2,3,0.096774194,28
1,medium,9,808,44,2,6,0.1875,26
1,medium,10,1061,50,2,5,0.15625,27
1,medium,11,969,53,2,3,0.09375,29
1,medium,12,1025,49,2,5,0.15625,27
1,medium,13,1052,59,2,4,0.125,28
1,medium,14,825,32,2,4,0.142857143,24
1,medium,15,1017,40,2,3,0.09375,29
1,medium,16,1065,53,2,5,0.15625,27
1,medium,17,581,32,2,5,0.178571429,23
1,medium,18,870,26,2,3,0.136363636,19
1,medium,19,1009,43,2,6,0.1875,26
1,medium,20,1141,39,2,4,0.125,28
1,high,1,835,45,2,6,0.1875,26
1,high,2,1297,53,2,4,0.125,28
1,high,3,1090,54,2,7,0.21875,25
1,high,4,1291,43,2,7,0.21875,25
1,high,5,918,44,2,7,0.21875,25
1,high,6,1159,53,2,6,0.1875,26
1,high,7,1093,55,2,4,0.125,28
1,high,8,1091,53,2,5,0.15625,27
1,high,9,1322,46,2,4,0.125,28
1,high,10,341,31,2,4,0.148148148,23
1,high,11,1572,53,2,7,0.21875,25
1,high,12,1267,59,2,8,0.25,24
1,high,13,994,43,2,6,0.1875,26
1,high,14,1122,46,2,5,0.15625,27
1,high,15,1070,39,2,10,0.3125,22
1,high,16,1157,46,2,6,0.1875,26
1,high,17,1100,45,2,8,0.25,24
1,high,18,835,36,2,5,0.15625,27
1,high,19,1320,52,2,5,0.15625,27
1,high,20,1052,50,2,5,0.15625,27
2,low,1,678,35,2,4,0.129032258,27
2,low,2,961,47,2,4,0.125,28
2,low,3,935,36,2,4,0.125,28
2,low,5,581,47,2,3,0.09375,29
2,low,6,404,41,2,2,0.0625,30
2,low,7,848,40,2,2,0.0625,30
2,low,8,1161,60,2,4,0.125,28
2,low,9,577,40,2,4,0.125,28
2,low,10,362,30,2,2,0.076923077,24
2,low,11,106,32,2,3,0.107142857,25
2,low,12,755,52,2,4,0.125,28
2,low,13,1340,42,2,4,0.125,28
2,low,14,1280,44,2,4,0.125,28
2,low,15,826,45,2,3,0.09375,29
2,low,16,919,60,2,4,0.125,28
2,low,17,841,50,2,4,0.125,28
2,low,18,284,42,2,3,0.09375,29
2,low,19,661,32,2,4,0.142857143,24
2,low,20,331,27,2,3,0.130434783,20
2,medium,1,707,28,2,5,0.208333333,19
2,medium,2,1276,52,2,3,0.09375,29
2,medium,3,1022,44,2,4,0.125,28
2,medium,4,968,47,2,3,0.09375,29
2,medium,5,328,24,2,4,0.2,16
2,medium,6,837,53,2,4,0.125,28
2,medium,7,907,46,2,3,0.09375,29
2,medium,8,466,40,2,7,0.21875,25
2,medium,9,780,57,2,4,0.125,28
2,medium,10,1105,44,2,5,0.15625,27
2,medium,11,491,34,2,4,0.133333333,26
2,medium,12,339,40,2,6,0.1875,26
2,medium,13,1529,51,2,5,0.15625,27
2,medium,14,977,43,2,5,0.15625,27
2,medium,15,602,28,2,4,0.166666667,20
2,medium,17,600,74,2,4,0.125,28
2,medium,18,687,35,2,4,0.129032258,27
2,medium,19,1243,42,2,5,0.15625,27
2,medium,20,908,46,2,4,0.125,28
2,high,1,978,35,2,5,0.161290323,26
2,high,2,649,27,2,5,0.217391304,18
2,high,3,752,32,2,6,0.214285714,22
2,high,4,1332,44,2,8,0.25,24
2,high,5,1168,40,2,5,0.15625,27
2,high,6,1137,46,2,4,0.125,28
2,high,7,890,50,2,4,0.125,28
2,high,8,787,26,2,6,0.272727273,16
2,high,9,1227,58,2,4,0.125,28
2,high,10,985,40,2,6,0.1875,26
2,high,11,1449,44,2,7,0.21875,25
2,high,12,934,28,2,6,0.25,18
2,high,13,587,31,2,6,0.222222222,21
2,high,14,627,36,2,5,0.15625,27
2,high,15,1372,66,2,5,0.15625,27
2,high,16,933,43,2,6,0.1875,26
2,high,17,1108,38,2,3,0.09375,29
2,high,18,541,24,2,2,0.1,18
2,high,19,1368,43,2,5,0.15625,27
2,high,20,1480,67,2,5,0.15625,27
